gene_a,gene_b,fr_label,sl_label,source_GI_flag,PC9_GI_flag,HeLa_GI_flag,PC9_GI_score,PC9_GI_fdr,HeLa_GI_score,HeLa_GI_fdr
TMED3,TMED7,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.0748877874232238,0.751865272155377,-0.541970421686557,0.0239464461183069
KCNB2,KCNB1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0744741978559347,0.763863954489665,0.144470837882189,0.189523749047298
CYP11B2,CYP11B1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.074380201916597,0.652725089923057,-0.13060809811268,0.363565584276068
SLC1A5,SLC1A4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0736662914646717,0.767584511722897,0.0763294666530908,0.2863186874291
DOCK4,DOCK3,FR_positive,False,buffering,neither_in_PC9,buffering_in_HeLa,-0.0735690039676346,0.88203940042494,0.485188785193253,0.0571507137137977
RAB39B,RAB39A,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0734883796913247,0.716417681229574,0.0595973694128179,0.58912915532543
LYZL2,LYZL1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.073236844604369,0.735278443552018,-0.151111833246306,0.257817791207905
PHKA2,PHKA1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0731172677868407,0.668914100676863,0.297247405835357,0.193722119654525
KCNH5,KCNH1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0715194212018864,0.826642786326692,-0.284353780971803,0.330976016204642
PRKAB2,PRKAB1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0701797493654681,0.645001311755194,0.0866940763539094,0.495492650326669
P4HA2,P4HA1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0699322386163349,0.858783178816715,-0.199875059448332,0.177961687861698
STX12,STX7,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.068828672655345,0.840729907898647,-0.539735062912827,0.0357653805788222
HEY2,HEY1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0685924114256456,0.68294760798865,-0.228430129267621,0.236430181930312
NIPSNAP2,NIPSNAP1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0685185962544927,0.735643196306999,-0.123440085451668,0.434945857612717
NOVA2,NOVA1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0680742667007362,0.779554842609553,-0.00951270731841862,0.960769784696402
TBX5,TBX4,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0680041410858645,0.813869054972289,-0.0415925653444091,0.827887148529862
PSMB6,PSMB9,FR_negative,True,synthetic_lethal,neither_in_PC9,SL_in_HeLa,-0.0677152389445021,0.768477209938714,-0.539832535525746,0.0834123328667294
FSCN2,FSCN1,FR_negative,False,neither,neither_in_PC9,neither_in_HeLa,-0.0674452700712752,0.600674515681081,-0.288001637510436,0.0664599065893559
